Encoder,LearningAlgorithm,Baseball,UKHouseOfCommons,ca2006,codling,gtcars,midwest,mpg,msleep,myeloid,nassCDS,races2000,terrorism,txhousing,us_rent_income,water
BackwardDifference,SVM,0.9236641221374046,1.3722627737226278,1.0848126232741615,1.1528925619834718,0.6919831223628702,1.244318181818182,0.6802325581395346,1.5397082658022692,0.05882352941176476,0.34319526627218955,1.4090582314881381,0.029787234042555653,0.7674418604651161,1.2468354430379747,0.3724137931034486
BaseN,EN,2.564885496183206,3.2749391727493915,1.5502958579881654,2.619834710743803,1.6118143459915626,2.5625,2.633720930232557,1.6564019448946519,2.6890756302521006,2.6035502958579873,1.141624730409777,0.2255319148936173,13.860465116279068,4.158227848101266,1.8068965517241378
BaseN,GBT,0.0,0.4768856447688564,0.15779092702169636,0.9214876033057855,0.7426160337552753,0.02272727272727275,0.09302325581395354,0.3889789303079416,0.5882352941176466,0.023668639053254455,1.01509705248023,0.6170212765957481,0.4651162790697673,0.3544303797468354,1.1793103448275863
BaseN,KNN,1.0458015267175573,1.698296836982968,1.1834319526627217,1.2685950413223148,0.759493670886077,1.181818181818182,0.965116279069767,1.4748784440842793,0.3781512605042011,1.372781065088757,1.2782171099928108,0.06382978723404513,1.2558139534883719,0.17088607594936706,0.0965517241379311
BaseN,NN-1L,0.3511450381679388,0.656934306569343,0.18934911242603542,0.16115702479338842,0.9113924050632924,1.1590909090909092,0.1627906976744184,1.0307941653160457,0.35294117647058765,0.15384615384615394,0.16822429906542055,1.4510638297872385,0.3255813953488371,0.44303797468354433,0.03448275862068968
BaseN,NN-2L,0.34351145038167924,0.4817518248175182,0.09861932938856022,0.033057851239669464,0.9704641350210984,1.272727272727273,0.06976744186046516,0.693679092382496,1.3613445378151254,0.9585798816568041,0.05607476635514016,1.3063829787234091,0.023255813953488393,0.2531645569620254,0.3724137931034486
BaseN,RF,0.08396946564885503,0.7834549878345498,0.4339250493096645,0.838842975206612,0.27004219409282737,0.2215909090909093,0.1627906976744184,0.7617504051863859,0.193277310924369,0.3195266272189351,1.0682961897915169,0.3148936170212767,0.41860465116279055,0.1772151898734177,0.6068965517241384
BaseN,SVM,0.8320610687022899,1.1727493917274938,1.080867850098619,1.1776859504132238,0.700421940928271,0.869318181818182,0.5930232558139532,1.6304700162074557,0.08403361344537823,0.36686390532544405,1.417685118619698,0.021276595744680448,0.9767441860465116,0.6455696202531648,0.35172413793103474
Binary,EN,2.564885496183206,3.2749391727493915,1.5502958579881654,2.619834710743803,1.6118143459915626,2.5625,2.633720930232557,1.6564019448946519,2.6890756302521006,2.6035502958579873,1.141624730409777,0.2255319148936173,13.860465116279068,4.158227848101266,1.8068965517241378
Binary,GBT,0.0,0.4768856447688564,0.15779092702169636,0.9214876033057855,0.7426160337552753,0.02272727272727275,0.09302325581395354,0.3889789303079416,0.5882352941176466,0.023668639053254455,1.01509705248023,0.6170212765957481,0.4651162790697673,0.3544303797468354,1.1793103448275863
