,,,TargetEncoder
gtcars,SVR,RMSE,0.750 ±0.278
gtcars,SVR,MAE,0.353 ±0.121
gtcars,SVR,R2,0.475 ±0.119
gtcars,RandomForestRegressor,RMSE,0.729 ±0.260
gtcars,RandomForestRegressor,MAE,0.329 ±0.094
gtcars,RandomForestRegressor,R2,0.476 ±0.206
gtcars,GradientBoostingRegressor,RMSE,0.777 ±0.265
gtcars,GradientBoostingRegressor,MAE,0.295 ±0.078
gtcars,GradientBoostingRegressor,R2,0.369 ±0.421
gtcars,MLPRegressor,RMSE,0.846 ±0.251
gtcars,MLPRegressor,MAE,0.364 ±0.100
gtcars,MLPRegressor,R2,0.218 ±0.481
gtcars,MLPRegressor2,RMSE,0.869 ±0.236
gtcars,MLPRegressor2,MAE,0.348 ±0.092
gtcars,MLPRegressor2,R2,0.178 ±0.509
water,ElasticNet,RMSE,0.969 ±0.149
water,ElasticNet,MAE,0.747 ±0.160
water,ElasticNet,R2,0.049 ±0.070
water,KNeighborsRegressor,RMSE,0.724 ±0.096
water,KNeighborsRegressor,MAE,0.562 ±0.120
water,KNeighborsRegressor,R2,0.459 ±0.100
water,SVR,RMSE,0.760 ±0.114
water,SVR,MAE,0.593 ±0.120
water,SVR,R2,0.405 ±0.119
water,RandomForestRegressor,RMSE,0.799 ±0.091
water,RandomForestRegressor,MAE,0.561 ±0.126
water,RandomForestRegressor,R2,0.330 ±0.159
water,GradientBoostingRegressor,RMSE,0.879 ±0.116
water,GradientBoostingRegressor,MAE,0.630 ±0.130
water,GradientBoostingRegressor,R2,0.182 ±0.236
water,MLPRegressor,RMSE,0.712 ±0.098
water,MLPRegressor,MAE,0.542 ±0.129
water,MLPRegressor,R2,0.475 ±0.120
water,MLPRegressor2,RMSE,0.753 ±0.114
water,MLPRegressor2,MAE,0.571 ±0.129
water,MLPRegressor2,R2,0.413 ±0.145
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.205
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.668 ±0.244
ca2006,KNeighborsRegressor,MAE,0.433 ±0.177
ca2006,KNeighborsRegressor,R2,0.500 ±0.338
ca2006,SVR,RMSE,0.653 ±0.238
ca2006,SVR,MAE,0.293 ±0.181
ca2006,SVR,R2,0.538 ±0.255
ca2006,RandomForestRegressor,RMSE,0.481 ±0.185
ca2006,RandomForestRegressor,MAE,0.262 ±0.116
ca2006,RandomForestRegressor,R2,0.745 ±0.157
ca2006,GradientBoostingRegressor,RMSE,0.416 ±0.162
ca2006,GradientBoostingRegressor,MAE,0.242 ±0.113
ca2006,GradientBoostingRegressor,R2,0.808 ±0.125
ca2006,MLPRegressor,RMSE,0.418 ±0.125
ca2006,MLPRegressor,MAE,0.241 ±0.113
ca2006,MLPRegressor,R2,0.804 ±0.100
ca2006,MLPRegressor2,RMSE,0.377 ±0.095
ca2006,MLPRegressor2,MAE,0.207 ±0.071
ca2006,MLPRegressor2,R2,0.842 ±0.067
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.370 ±0.044
UKHouseOfCommons,KNeighborsRegressor,MAE,0.160 ±0.013
UKHouseOfCommons,KNeighborsRegressor,R2,0.863 ±0.022
UKHouseOfCommons,SVR,RMSE,0.303 ±0.093
UKHouseOfCommons,SVR,MAE,0.062 ±0.006
UKHouseOfCommons,SVR,R2,0.905 ±0.044
UKHouseOfCommons,RandomForestRegressor,RMSE,0.251 ±0.055
UKHouseOfCommons,RandomForestRegressor,MAE,0.091 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.936 ±0.022
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.190 ±0.042
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.081 ±0.008
UKHouseOfCommons,GradientBoostingRegressor,R2,0.963 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.127 ±0.035
UKHouseOfCommons,MLPRegressor,MAE,0.050 ±0.006
UKHouseOfCommons,MLPRegressor,R2,0.983 ±0.008
UKHouseOfCommons,MLPRegressor2,RMSE,0.101 ±0.027
UKHouseOfCommons,MLPRegressor2,MAE,0.036 ±0.005
UKHouseOfCommons,MLPRegressor2,R2,0.990 ±0.005
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.569 ±0.064
myeloid,KNeighborsRegressor,MAE,0.256 ±0.055
myeloid,KNeighborsRegressor,R2,0.671 ±0.058
myeloid,SVR,RMSE,0.563 ±0.070
myeloid,SVR,MAE,0.216 ±0.045
myeloid,SVR,R2,0.677 ±0.062
myeloid,RandomForestRegressor,RMSE,0.573 ±0.058
myeloid,RandomForestRegressor,MAE,0.261 ±0.035
myeloid,RandomForestRegressor,R2,0.663 ±0.069
myeloid,GradientBoostingRegressor,RMSE,0.621 ±0.087
myeloid,GradientBoostingRegressor,MAE,0.272 ±0.048
myeloid,GradientBoostingRegressor,R2,0.605 ±0.096
myeloid,MLPRegressor,RMSE,0.583 ±0.067
myeloid,MLPRegressor,MAE,0.252 ±0.046
myeloid,MLPRegressor,R2,0.650 ±0.091
myeloid,MLPRegressor2,RMSE,0.690 ±0.094
myeloid,MLPRegressor2,MAE,0.275 ±0.070
myeloid,MLPRegressor2,R2,0.508 ±0.137
us_rent_income,ElasticNet,RMSE,0.683 ±0.046
us_rent_income,ElasticNet,MAE,0.653 ±0.045
us_rent_income,ElasticNet,R2,0.526 ±0.033
us_rent_income,KNeighborsRegressor,RMSE,0.200 ±0.028
us_rent_income,KNeighborsRegressor,MAE,0.029 ±0.010
us_rent_income,KNeighborsRegressor,R2,0.959 ±0.008
us_rent_income,SVR,RMSE,0.235 ±0.061
us_rent_income,SVR,MAE,0.087 ±0.011
us_rent_income,SVR,R2,0.942 ±0.026
us_rent_income,RandomForestRegressor,RMSE,0.217 ±0.028
us_rent_income,RandomForestRegressor,MAE,0.032 ±0.012
us_rent_income,RandomForestRegressor,R2,0.952 ±0.011
us_rent_income,GradientBoostingRegressor,RMSE,0.224 ±0.035
us_rent_income,GradientBoostingRegressor,MAE,0.030 ±0.012
us_rent_income,GradientBoostingRegressor,R2,0.948 ±0.015
us_rent_income,MLPRegressor,RMSE,0.181 ±0.028
us_rent_income,MLPRegressor,MAE,0.031 ±0.008
us_rent_income,MLPRegressor,R2,0.966 ±0.009
us_rent_income,MLPRegressor2,RMSE,0.198 ±0.035
us_rent_income,MLPRegressor2,MAE,0.075 ±0.040
us_rent_income,MLPRegressor2,R2,0.959 ±0.015
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.482 ±0.041
Baseball,KNeighborsRegressor,MAE,0.301 ±0.030
Baseball,KNeighborsRegressor,R2,0.765 ±0.033
Baseball,SVR,RMSE,0.481 ±0.072
Baseball,SVR,MAE,0.260 ±0.030
Baseball,SVR,R2,0.769 ±0.039
Baseball,RandomForestRegressor,RMSE,0.381 ±0.038
Baseball,RandomForestRegressor,MAE,0.226 ±0.021
Baseball,RandomForestRegressor,R2,0.853 ±0.025
Baseball,GradientBoostingRegressor,RMSE,0.373 ±0.033
Baseball,GradientBoostingRegressor,MAE,0.235 ±0.025
Baseball,GradientBoostingRegressor,R2,0.859 ±0.025
Baseball,MLPRegressor,RMSE,0.392 ±0.029
Baseball,MLPRegressor,MAE,0.243 ±0.023
Baseball,MLPRegressor,R2,0.844 ±0.023
Baseball,MLPRegressor2,RMSE,0.386 ±0.034
Baseball,MLPRegressor2,MAE,0.240 ±0.025
Baseball,MLPRegressor2,R2,0.849 ±0.024
