,,,CatBoostEncoder
gtcars,MLPRegressor,RMSE,0.854 ±0.238
gtcars,MLPRegressor,MAE,0.379 ±0.078
gtcars,MLPRegressor,R2,0.209 ±0.466
gtcars,MLPRegressor2,RMSE,0.885 ±0.255
gtcars,MLPRegressor2,MAE,0.347 ±0.091
gtcars,MLPRegressor2,R2,0.089 ±0.697
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.725 ±0.093
water,KNeighborsRegressor,MAE,0.564 ±0.116
water,KNeighborsRegressor,R2,0.457 ±0.101
water,SVR,RMSE,0.761 ±0.114
water,SVR,MAE,0.596 ±0.118
water,SVR,R2,0.404 ±0.120
water,RandomForestRegressor,RMSE,0.798 ±0.088
water,RandomForestRegressor,MAE,0.562 ±0.124
water,RandomForestRegressor,R2,0.333 ±0.151
water,GradientBoostingRegressor,RMSE,0.879 ±0.116
water,GradientBoostingRegressor,MAE,0.635 ±0.126
water,GradientBoostingRegressor,R2,0.183 ±0.236
water,MLPRegressor,RMSE,0.709 ±0.099
water,MLPRegressor,MAE,0.546 ±0.124
water,MLPRegressor,R2,0.479 ±0.124
water,MLPRegressor2,RMSE,0.754 ±0.110
water,MLPRegressor2,MAE,0.584 ±0.120
water,MLPRegressor2,R2,0.410 ±0.142
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.671 ±0.245
ca2006,KNeighborsRegressor,MAE,0.436 ±0.188
ca2006,KNeighborsRegressor,R2,0.496 ±0.338
ca2006,SVR,RMSE,0.657 ±0.240
ca2006,SVR,MAE,0.296 ±0.182
ca2006,SVR,R2,0.534 ±0.259
ca2006,RandomForestRegressor,RMSE,0.487 ±0.189
ca2006,RandomForestRegressor,MAE,0.268 ±0.106
ca2006,RandomForestRegressor,R2,0.740 ±0.164
ca2006,GradientBoostingRegressor,RMSE,0.417 ±0.169
ca2006,GradientBoostingRegressor,MAE,0.238 ±0.094
ca2006,GradientBoostingRegressor,R2,0.803 ±0.152
ca2006,MLPRegressor,RMSE,0.390 ±0.116
ca2006,MLPRegressor,MAE,0.239 ±0.083
ca2006,MLPRegressor,R2,0.831 ±0.083
ca2006,MLPRegressor2,RMSE,0.399 ±0.133
ca2006,MLPRegressor2,MAE,0.243 ±0.083
ca2006,MLPRegressor2,R2,0.812 ±0.136
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.365 ±0.044
UKHouseOfCommons,KNeighborsRegressor,MAE,0.155 ±0.013
UKHouseOfCommons,KNeighborsRegressor,R2,0.866 ±0.022
UKHouseOfCommons,SVR,RMSE,0.300 ±0.093
UKHouseOfCommons,SVR,MAE,0.062 ±0.006
UKHouseOfCommons,SVR,R2,0.907 ±0.043
UKHouseOfCommons,RandomForestRegressor,RMSE,0.250 ±0.055
UKHouseOfCommons,RandomForestRegressor,MAE,0.091 ±0.008
UKHouseOfCommons,RandomForestRegressor,R2,0.936 ±0.022
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.190 ±0.044
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.081 ±0.009
UKHouseOfCommons,GradientBoostingRegressor,R2,0.963 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.119 ±0.025
UKHouseOfCommons,MLPRegressor,MAE,0.050 ±0.007
UKHouseOfCommons,MLPRegressor,R2,0.986 ±0.005
UKHouseOfCommons,MLPRegressor2,RMSE,0.098 ±0.025
UKHouseOfCommons,MLPRegressor2,MAE,0.034 ±0.005
UKHouseOfCommons,MLPRegressor2,R2,0.990 ±0.004
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.568 ±0.064
myeloid,KNeighborsRegressor,MAE,0.258 ±0.056
myeloid,KNeighborsRegressor,R2,0.671 ±0.058
myeloid,SVR,RMSE,0.563 ±0.070
myeloid,SVR,MAE,0.216 ±0.044
myeloid,SVR,R2,0.677 ±0.062
myeloid,RandomForestRegressor,RMSE,0.575 ±0.060
myeloid,RandomForestRegressor,MAE,0.254 ±0.041
myeloid,RandomForestRegressor,R2,0.662 ±0.069
myeloid,GradientBoostingRegressor,RMSE,0.620 ±0.089
myeloid,GradientBoostingRegressor,MAE,0.271 ±0.049
myeloid,GradientBoostingRegressor,R2,0.606 ±0.100
myeloid,MLPRegressor,RMSE,0.579 ±0.053
myeloid,MLPRegressor,MAE,0.252 ±0.043
myeloid,MLPRegressor,R2,0.656 ±0.071
myeloid,MLPRegressor2,RMSE,0.691 ±0.081
myeloid,MLPRegressor2,MAE,0.273 ±0.047
myeloid,MLPRegressor2,R2,0.507 ±0.129
us_rent_income,ElasticNet,RMSE,0.697 ±0.046
us_rent_income,ElasticNet,MAE,0.669 ±0.047
us_rent_income,ElasticNet,R2,0.505 ±0.037
us_rent_income,KNeighborsRegressor,RMSE,0.199 ±0.028
us_rent_income,KNeighborsRegressor,MAE,0.029 ±0.010
us_rent_income,KNeighborsRegressor,R2,0.959 ±0.009
us_rent_income,SVR,RMSE,0.236 ±0.060
us_rent_income,SVR,MAE,0.088 ±0.009
us_rent_income,SVR,R2,0.941 ±0.026
us_rent_income,RandomForestRegressor,RMSE,0.217 ±0.030
us_rent_income,RandomForestRegressor,MAE,0.032 ±0.014
us_rent_income,RandomForestRegressor,R2,0.952 ±0.012
us_rent_income,GradientBoostingRegressor,RMSE,0.224 ±0.035
us_rent_income,GradientBoostingRegressor,MAE,0.030 ±0.012
us_rent_income,GradientBoostingRegressor,R2,0.948 ±0.015
us_rent_income,MLPRegressor,RMSE,0.184 ±0.028
us_rent_income,MLPRegressor,MAE,0.034 ±0.012
us_rent_income,MLPRegressor,R2,0.965 ±0.009
us_rent_income,MLPRegressor2,RMSE,0.212 ±0.058
us_rent_income,MLPRegressor2,MAE,0.073 ±0.045
us_rent_income,MLPRegressor2,R2,0.951 ±0.032
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.480 ±0.038
Baseball,KNeighborsRegressor,MAE,0.299 ±0.029
Baseball,KNeighborsRegressor,R2,0.767 ±0.032
Baseball,SVR,RMSE,0.478 ±0.072
Baseball,SVR,MAE,0.258 ±0.028
Baseball,SVR,R2,0.771 ±0.039
Baseball,RandomForestRegressor,RMSE,0.382 ±0.038
Baseball,RandomForestRegressor,MAE,0.226 ±0.020
Baseball,RandomForestRegressor,R2,0.852 ±0.025
Baseball,GradientBoostingRegressor,RMSE,0.372 ±0.034
Baseball,GradientBoostingRegressor,MAE,0.233 ±0.029
Baseball,GradientBoostingRegressor,R2,0.860 ±0.025
Baseball,MLPRegressor,RMSE,0.394 ±0.029
Baseball,MLPRegressor,MAE,0.244 ±0.022
Baseball,MLPRegressor,R2,0.842 ±0.025
Baseball,MLPRegressor2,RMSE,0.384 ±0.035
Baseball,MLPRegressor2,MAE,0.243 ±0.026
Baseball,MLPRegressor2,R2,0.850 ±0.025
