,,,BaseNEncoder
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.785 ±0.276
gtcars,KNeighborsRegressor,MAE,0.418 ±0.141
gtcars,KNeighborsRegressor,R2,0.408 ±0.155
gtcars,SVR,RMSE,0.778 ±0.288
gtcars,SVR,MAE,0.379 ±0.129
gtcars,SVR,R2,0.437 ±0.120
gtcars,RandomForestRegressor,RMSE,0.728 ±0.259
gtcars,RandomForestRegressor,MAE,0.322 ±0.093
gtcars,RandomForestRegressor,R2,0.489 ±0.158
gtcars,GradientBoostingRegressor,RMSE,0.775 ±0.255
gtcars,GradientBoostingRegressor,MAE,0.290 ±0.075
gtcars,GradientBoostingRegressor,R2,0.385 ±0.318
gtcars,MLPRegressor,RMSE,0.847 ±0.233
gtcars,MLPRegressor,MAE,0.412 ±0.099
gtcars,MLPRegressor,R2,0.231 ±0.444
gtcars,MLPRegressor2,RMSE,0.824 ±0.233
gtcars,MLPRegressor2,MAE,0.381 ±0.105
gtcars,MLPRegressor2,R2,0.281 ±0.374
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.722 ±0.093
water,KNeighborsRegressor,MAE,0.561 ±0.117
water,KNeighborsRegressor,R2,0.462 ±0.099
water,SVR,RMSE,0.759 ±0.113
water,SVR,MAE,0.588 ±0.111
water,SVR,R2,0.407 ±0.116
water,RandomForestRegressor,RMSE,0.794 ±0.091
water,RandomForestRegressor,MAE,0.563 ±0.123
water,RandomForestRegressor,R2,0.340 ±0.149
water,GradientBoostingRegressor,RMSE,0.878 ±0.116
water,GradientBoostingRegressor,MAE,0.631 ±0.128
water,GradientBoostingRegressor,R2,0.183 ±0.236
water,MLPRegressor,RMSE,0.710 ±0.098
water,MLPRegressor,MAE,0.548 ±0.123
water,MLPRegressor,R2,0.477 ±0.120
water,MLPRegressor2,RMSE,0.758 ±0.114
water,MLPRegressor2,MAE,0.584 ±0.125
water,MLPRegressor2,R2,0.404 ±0.142
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.666 ±0.244
ca2006,KNeighborsRegressor,MAE,0.438 ±0.184
ca2006,KNeighborsRegressor,R2,0.503 ±0.335
ca2006,SVR,RMSE,0.629 ±0.230
ca2006,SVR,MAE,0.293 ±0.158
ca2006,SVR,R2,0.571 ±0.239
ca2006,RandomForestRegressor,RMSE,0.474 ±0.188
ca2006,RandomForestRegressor,MAE,0.264 ±0.112
ca2006,RandomForestRegressor,R2,0.754 ±0.153
ca2006,GradientBoostingRegressor,RMSE,0.404 ±0.151
ca2006,GradientBoostingRegressor,MAE,0.235 ±0.099
ca2006,GradientBoostingRegressor,R2,0.820 ±0.108
ca2006,MLPRegressor,RMSE,0.422 ±0.130
ca2006,MLPRegressor,MAE,0.254 ±0.110
ca2006,MLPRegressor,R2,0.799 ±0.104
ca2006,MLPRegressor2,RMSE,0.387 ±0.113
ca2006,MLPRegressor2,MAE,0.220 ±0.080
ca2006,MLPRegressor2,R2,0.834 ±0.075
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.439 ±0.040
UKHouseOfCommons,KNeighborsRegressor,MAE,0.243 ±0.020
UKHouseOfCommons,KNeighborsRegressor,R2,0.807 ±0.021
UKHouseOfCommons,SVR,RMSE,0.331 ±0.084
UKHouseOfCommons,SVR,MAE,0.089 ±0.013
UKHouseOfCommons,SVR,R2,0.889 ±0.041
UKHouseOfCommons,RandomForestRegressor,RMSE,0.251 ±0.052
UKHouseOfCommons,RandomForestRegressor,MAE,0.093 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.936 ±0.020
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.188 ±0.042
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.081 ±0.011
UKHouseOfCommons,GradientBoostingRegressor,R2,0.964 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.211 ±0.035
UKHouseOfCommons,MLPRegressor,MAE,0.118 ±0.024
