,,,JamesSteinEncoder
txhousing,GradientBoostingRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor,RMSE,0.057 ±0.004
txhousing,MLPRegressor,MAE,0.021 ±0.002
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.042 ±0.003
txhousing,MLPRegressor2,MAE,0.016 ±0.001
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.916 ±0.284
gtcars,ElasticNet,MAE,0.524 ±0.157
gtcars,ElasticNet,R2,0.199 ±0.087
gtcars,KNeighborsRegressor,RMSE,0.814 ±0.275
gtcars,KNeighborsRegressor,MAE,0.408 ±0.139
gtcars,KNeighborsRegressor,R2,0.377 ±0.091
gtcars,SVR,RMSE,0.808 ±0.283
gtcars,SVR,MAE,0.408 ±0.147
gtcars,SVR,R2,0.387 ±0.112
gtcars,RandomForestRegressor,RMSE,0.763 ±0.268
gtcars,RandomForestRegressor,MAE,0.339 ±0.102
gtcars,RandomForestRegressor,R2,0.440 ±0.158
gtcars,GradientBoostingRegressor,RMSE,0.780 ±0.263
gtcars,GradientBoostingRegressor,MAE,0.316 ±0.076
gtcars,GradientBoostingRegressor,R2,0.407 ±0.186
gtcars,MLPRegressor,RMSE,0.829 ±0.261
gtcars,MLPRegressor,MAE,0.386 ±0.117
gtcars,MLPRegressor,R2,0.329 ±0.212
gtcars,MLPRegressor2,RMSE,0.823 ±0.240
gtcars,MLPRegressor2,MAE,0.375 ±0.119
gtcars,MLPRegressor2,R2,0.328 ±0.207
water,ElasticNet,RMSE,0.969 ±0.149
water,ElasticNet,MAE,0.747 ±0.160
water,ElasticNet,R2,0.049 ±0.070
water,KNeighborsRegressor,RMSE,0.724 ±0.096
water,KNeighborsRegressor,MAE,0.562 ±0.120
water,KNeighborsRegressor,R2,0.459 ±0.100
water,SVR,RMSE,0.760 ±0.114
water,SVR,MAE,0.593 ±0.120
water,SVR,R2,0.405 ±0.119
water,RandomForestRegressor,RMSE,0.797 ±0.092
water,RandomForestRegressor,MAE,0.562 ±0.115
water,RandomForestRegressor,R2,0.334 ±0.159
water,GradientBoostingRegressor,RMSE,0.878 ±0.116
water,GradientBoostingRegressor,MAE,0.635 ±0.126
water,GradientBoostingRegressor,R2,0.183 ±0.236
water,MLPRegressor,RMSE,0.711 ±0.096
water,MLPRegressor,MAE,0.553 ±0.124
water,MLPRegressor,R2,0.477 ±0.119
water,MLPRegressor2,RMSE,0.755 ±0.109
water,MLPRegressor2,MAE,0.582 ±0.125
water,MLPRegressor2,R2,0.409 ±0.144
ca2006,ElasticNet,RMSE,0.759 ±0.198
