,,,BackwardDifferenceEncoder
ca2006,RandomForestRegressor,MAE,0.279 ±0.129
ca2006,RandomForestRegressor,R2,0.743 ±0.176
ca2006,GradientBoostingRegressor,RMSE,0.416 ±0.166
ca2006,GradientBoostingRegressor,MAE,0.236 ±0.098
ca2006,GradientBoostingRegressor,R2,0.805 ±0.144
ca2006,MLPRegressor,RMSE,0.366 ±0.111
ca2006,MLPRegressor,MAE,0.206 ±0.097
ca2006,MLPRegressor,R2,0.852 ±0.071
ca2006,MLPRegressor2,RMSE,0.393 ±0.117
ca2006,MLPRegressor2,MAE,0.211 ±0.080
ca2006,MLPRegressor2,R2,0.830 ±0.077
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.589 ±0.061
UKHouseOfCommons,KNeighborsRegressor,MAE,0.310 ±0.029
UKHouseOfCommons,KNeighborsRegressor,R2,0.650 ±0.060
UKHouseOfCommons,SVR,RMSE,0.372 ±0.055
UKHouseOfCommons,SVR,MAE,0.173 ±0.020
UKHouseOfCommons,SVR,R2,0.862 ±0.026
UKHouseOfCommons,RandomForestRegressor,RMSE,0.252 ±0.056
UKHouseOfCommons,RandomForestRegressor,MAE,0.090 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.936 ±0.023
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.189 ±0.043
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.080 ±0.010
UKHouseOfCommons,GradientBoostingRegressor,R2,0.964 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.351 ±0.063
UKHouseOfCommons,MLPRegressor,MAE,0.214 ±0.070
UKHouseOfCommons,MLPRegressor,R2,0.871 ±0.053
UKHouseOfCommons,MLPRegressor2,RMSE,0.386 ±0.060
UKHouseOfCommons,MLPRegressor2,MAE,0.220 ±0.047
UKHouseOfCommons,MLPRegressor2,R2,0.847 ±0.049
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.577 ±0.062
myeloid,KNeighborsRegressor,MAE,0.250 ±0.044
myeloid,KNeighborsRegressor,R2,0.661 ±0.059
myeloid,SVR,RMSE,0.557 ±0.065
myeloid,SVR,MAE,0.219 ±0.037
myeloid,SVR,R2,0.683 ±0.063
myeloid,RandomForestRegressor,RMSE,0.574 ±0.058
myeloid,RandomForestRegressor,MAE,0.259 ±0.042
myeloid,RandomForestRegressor,R2,0.662 ±0.069
myeloid,GradientBoostingRegressor,RMSE,0.621 ±0.092
myeloid,GradientBoostingRegressor,MAE,0.271 ±0.049
myeloid,GradientBoostingRegressor,R2,0.604 ±0.103
myeloid,MLPRegressor,RMSE,0.594 ±0.055
myeloid,MLPRegressor,MAE,0.252 ±0.042
myeloid,MLPRegressor,R2,0.637 ±0.082
myeloid,MLPRegressor2,RMSE,0.700 ±0.099
myeloid,MLPRegressor2,MAE,0.283 ±0.057
myeloid,MLPRegressor2,R2,0.492 ±0.153
us_rent_income,ElasticNet,RMSE,0.836 ±0.054
us_rent_income,ElasticNet,MAE,0.810 ±0.068
us_rent_income,ElasticNet,R2,0.285 ±0.089
us_rent_income,KNeighborsRegressor,RMSE,0.481 ±0.101
us_rent_income,KNeighborsRegressor,MAE,0.238 ±0.075
us_rent_income,KNeighborsRegressor,R2,0.755 ±0.104
us_rent_income,SVR,RMSE,0.376 ±0.063
us_rent_income,SVR,MAE,0.208 ±0.025
us_rent_income,SVR,R2,0.854 ±0.041
us_rent_income,RandomForestRegressor,RMSE,0.210 ±0.029
us_rent_income,RandomForestRegressor,MAE,0.034 ±0.017
us_rent_income,RandomForestRegressor,R2,0.955 ±0.010
us_rent_income,GradientBoostingRegressor,RMSE,0.228 ±0.034
us_rent_income,GradientBoostingRegressor,MAE,0.038 ±0.016
us_rent_income,GradientBoostingRegressor,R2,0.946 ±0.014
us_rent_income,MLPRegressor,RMSE,0.356 ±0.061
us_rent_income,MLPRegressor,MAE,0.214 ±0.065
us_rent_income,MLPRegressor,R2,0.869 ±0.041
us_rent_income,MLPRegressor2,RMSE,0.316 ±0.053
