,,,GLMMEncoder
txhousing,MLPRegressor2,MAE,0.017 ±0.002
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.893 ±0.294
gtcars,ElasticNet,MAE,0.515 ±0.161
gtcars,ElasticNet,R2,0.247 ±0.092
gtcars,KNeighborsRegressor,RMSE,0.796 ±0.247
gtcars,KNeighborsRegressor,MAE,0.420 ±0.121
gtcars,KNeighborsRegressor,R2,0.385 ±0.124
gtcars,SVR,RMSE,0.764 ±0.268
gtcars,SVR,MAE,0.376 ±0.125
gtcars,SVR,R2,0.450 ±0.114
gtcars,RandomForestRegressor,RMSE,0.764 ±0.262
gtcars,RandomForestRegressor,MAE,0.347 ±0.096
gtcars,RandomForestRegressor,R2,0.432 ±0.188
gtcars,GradientBoostingRegressor,RMSE,0.808 ±0.258
gtcars,GradientBoostingRegressor,MAE,0.358 ±0.126
gtcars,GradientBoostingRegressor,R2,0.339 ±0.299
gtcars,MLPRegressor,RMSE,0.769 ±0.220
gtcars,MLPRegressor,MAE,0.358 ±0.103
gtcars,MLPRegressor,R2,0.412 ±0.162
gtcars,MLPRegressor2,RMSE,0.810 ±0.217
gtcars,MLPRegressor2,MAE,0.361 ±0.117
gtcars,MLPRegressor2,R2,0.338 ±0.196
water,ElasticNet,RMSE,0.969 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.049 ±0.070
water,KNeighborsRegressor,RMSE,0.725 ±0.095
water,KNeighborsRegressor,MAE,0.562 ±0.118
water,KNeighborsRegressor,R2,0.457 ±0.101
water,SVR,RMSE,0.761 ±0.114
water,SVR,MAE,0.594 ±0.119
water,SVR,R2,0.405 ±0.120
water,RandomForestRegressor,RMSE,0.795 ±0.089
water,RandomForestRegressor,MAE,0.559 ±0.115
water,RandomForestRegressor,R2,0.338 ±0.156
water,GradientBoostingRegressor,RMSE,0.879 ±0.116
water,GradientBoostingRegressor,MAE,0.632 ±0.129
water,GradientBoostingRegressor,R2,0.183 ±0.236
water,MLPRegressor,RMSE,0.708 ±0.095
water,MLPRegressor,MAE,0.540 ±0.124
water,MLPRegressor,R2,0.480 ±0.123
water,MLPRegressor2,RMSE,0.756 ±0.103
water,MLPRegressor2,MAE,0.582 ±0.123
water,MLPRegressor2,R2,0.407 ±0.137
