,,,DropEncoder
ca2006,RandomForestRegressor,MAE,0.285 ±0.128
ca2006,RandomForestRegressor,R2,0.709 ±0.194
ca2006,GradientBoostingRegressor,RMSE,0.432 ±0.162
ca2006,GradientBoostingRegressor,MAE,0.251 ±0.124
ca2006,GradientBoostingRegressor,R2,0.792 ±0.134
ca2006,MLPRegressor,RMSE,0.399 ±0.120
ca2006,MLPRegressor,MAE,0.235 ±0.081
ca2006,MLPRegressor,R2,0.818 ±0.090
ca2006,MLPRegressor2,RMSE,0.386 ±0.104
ca2006,MLPRegressor2,MAE,0.215 ±0.088
ca2006,MLPRegressor2,R2,0.829 ±0.087
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.346 ±0.043
UKHouseOfCommons,KNeighborsRegressor,MAE,0.137 ±0.012
UKHouseOfCommons,KNeighborsRegressor,R2,0.879 ±0.021
UKHouseOfCommons,SVR,RMSE,0.288 ±0.090
UKHouseOfCommons,SVR,MAE,0.061 ±0.007
UKHouseOfCommons,SVR,R2,0.914 ±0.041
UKHouseOfCommons,RandomForestRegressor,RMSE,0.233 ±0.054
UKHouseOfCommons,RandomForestRegressor,MAE,0.081 ±0.009
UKHouseOfCommons,RandomForestRegressor,R2,0.945 ±0.021
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.184 ±0.041
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.079 ±0.010
UKHouseOfCommons,GradientBoostingRegressor,R2,0.966 ±0.012
UKHouseOfCommons,MLPRegressor,RMSE,0.116 ±0.028
UKHouseOfCommons,MLPRegressor,MAE,0.047 ±0.007
UKHouseOfCommons,MLPRegressor,R2,0.986 ±0.005
UKHouseOfCommons,MLPRegressor2,RMSE,0.093 ±0.030
UKHouseOfCommons,MLPRegressor2,MAE,0.030 ±0.005
UKHouseOfCommons,MLPRegressor2,R2,0.991 ±0.005
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.565 ±0.064
myeloid,KNeighborsRegressor,MAE,0.261 ±0.052
myeloid,KNeighborsRegressor,R2,0.675 ±0.059
myeloid,SVR,RMSE,0.565 ±0.071
myeloid,SVR,MAE,0.212 ±0.042
myeloid,SVR,R2,0.674 ±0.064
myeloid,RandomForestRegressor,RMSE,0.579 ±0.060
myeloid,RandomForestRegressor,MAE,0.260 ±0.040
myeloid,RandomForestRegressor,R2,0.656 ±0.067
myeloid,GradientBoostingRegressor,RMSE,0.626 ±0.086
myeloid,GradientBoostingRegressor,MAE,0.271 ±0.049
myeloid,GradientBoostingRegressor,R2,0.599 ±0.095
myeloid,MLPRegressor,RMSE,0.570 ±0.057
myeloid,MLPRegressor,MAE,0.248 ±0.047
myeloid,MLPRegressor,R2,0.667 ±0.070
myeloid,MLPRegressor2,RMSE,0.676 ±0.089
myeloid,MLPRegressor2,MAE,0.271 ±0.069
myeloid,MLPRegressor2,R2,0.530 ±0.123
us_rent_income,ElasticNet,RMSE,0.836 ±0.054
us_rent_income,ElasticNet,MAE,0.810 ±0.068
us_rent_income,ElasticNet,R2,0.285 ±0.089
us_rent_income,KNeighborsRegressor,RMSE,0.199 ±0.029
us_rent_income,KNeighborsRegressor,MAE,0.028 ±0.011
us_rent_income,KNeighborsRegressor,R2,0.960 ±0.009
us_rent_income,SVR,RMSE,0.272 ±0.051
us_rent_income,SVR,MAE,0.081 ±0.014
us_rent_income,SVR,R2,0.924 ±0.023
us_rent_income,RandomForestRegressor,RMSE,0.219 ±0.032
us_rent_income,RandomForestRegressor,MAE,0.031 ±0.019
us_rent_income,RandomForestRegressor,R2,0.951 ±0.012
us_rent_income,GradientBoostingRegressor,RMSE,0.245 ±0.036
us_rent_income,GradientBoostingRegressor,MAE,0.031 ±0.013
us_rent_income,GradientBoostingRegressor,R2,0.938 ±0.017
us_rent_income,MLPRegressor,RMSE,0.266 ±0.052
us_rent_income,MLPRegressor,MAE,0.119 ±0.028
us_rent_income,MLPRegressor,R2,0.925 ±0.030
us_rent_income,MLPRegressor2,RMSE,0.209 ±0.032
us_rent_income,MLPRegressor2,MAE,0.066 ±0.013
us_rent_income,MLPRegressor2,R2,0.954 ±0.013
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.476 ±0.039
Baseball,KNeighborsRegressor,MAE,0.300 ±0.028
Baseball,KNeighborsRegressor,R2,0.771 ±0.031
Baseball,SVR,RMSE,0.472 ±0.070
Baseball,SVR,MAE,0.251 ±0.020
Baseball,SVR,R2,0.777 ±0.038
Baseball,RandomForestRegressor,RMSE,0.376 ±0.033
Baseball,RandomForestRegressor,MAE,0.224 ±0.019
Baseball,RandomForestRegressor,R2,0.857 ±0.023
Baseball,GradientBoostingRegressor,RMSE,0.371 ±0.032
Baseball,GradientBoostingRegressor,MAE,0.229 ±0.029
Baseball,GradientBoostingRegressor,R2,0.861 ±0.022
Baseball,MLPRegressor,RMSE,0.377 ±0.029
Baseball,MLPRegressor,MAE,0.236 ±0.026
Baseball,MLPRegressor,R2,0.855 ±0.027
Baseball,MLPRegressor2,RMSE,0.374 ±0.031
Baseball,MLPRegressor2,MAE,0.234 ±0.023
Baseball,MLPRegressor2,R2,0.859 ±0.019
