,,,SumEncoder
myeloid,MLPRegressor,R2,0.617 ±0.092
myeloid,MLPRegressor2,RMSE,0.698 ±0.083
myeloid,MLPRegressor2,MAE,0.305 ±0.051
myeloid,MLPRegressor2,R2,0.496 ±0.129
us_rent_income,ElasticNet,RMSE,0.673 ±0.047
us_rent_income,ElasticNet,MAE,0.642 ±0.043
us_rent_income,ElasticNet,R2,0.539 ±0.032
us_rent_income,KNeighborsRegressor,RMSE,0.203 ±0.027
us_rent_income,KNeighborsRegressor,MAE,0.029 ±0.011
us_rent_income,KNeighborsRegressor,R2,0.958 ±0.008
us_rent_income,SVR,RMSE,0.303 ±0.065
us_rent_income,SVR,MAE,0.140 ±0.027
us_rent_income,SVR,R2,0.903 ±0.038
us_rent_income,RandomForestRegressor,RMSE,0.202 ±0.032
us_rent_income,RandomForestRegressor,MAE,0.030 ±0.012
us_rent_income,RandomForestRegressor,R2,0.958 ±0.010
us_rent_income,GradientBoostingRegressor,RMSE,0.204 ±0.030
us_rent_income,GradientBoostingRegressor,MAE,0.057 ±0.016
us_rent_income,GradientBoostingRegressor,R2,0.957 ±0.010
us_rent_income,MLPRegressor,RMSE,0.291 ±0.069
us_rent_income,MLPRegressor,MAE,0.155 ±0.065
us_rent_income,MLPRegressor,R2,0.910 ±0.041
us_rent_income,MLPRegressor2,RMSE,0.213 ±0.027
us_rent_income,MLPRegressor2,MAE,0.089 ±0.025
us_rent_income,MLPRegressor2,R2,0.953 ±0.011
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.518 ±0.044
Baseball,KNeighborsRegressor,MAE,0.329 ±0.031
Baseball,KNeighborsRegressor,R2,0.729 ±0.040
Baseball,SVR,RMSE,0.501 ±0.079
Baseball,SVR,MAE,0.271 ±0.030
Baseball,SVR,R2,0.749 ±0.046
Baseball,RandomForestRegressor,RMSE,0.378 ±0.035
Baseball,RandomForestRegressor,MAE,0.222 ±0.021
Baseball,RandomForestRegressor,R2,0.855 ±0.025
Baseball,GradientBoostingRegressor,RMSE,0.369 ±0.031
Baseball,GradientBoostingRegressor,MAE,0.230 ±0.033
Baseball,GradientBoostingRegressor,R2,0.862 ±0.023
Baseball,MLPRegressor,RMSE,0.461 ±0.040
Baseball,MLPRegressor,MAE,0.294 ±0.036
Baseball,MLPRegressor,R2,0.785 ±0.031
Baseball,MLPRegressor2,RMSE,0.420 ±0.032
Baseball,MLPRegressor2,MAE,0.261 ±0.024
Baseball,MLPRegressor2,R2,0.821 ±0.031
