,,,LeaveOneOutEncoder
UKHouseOfCommons,MLPRegressor,RMSE,0.125 ±0.029
UKHouseOfCommons,MLPRegressor,MAE,0.051 ±0.006
UKHouseOfCommons,MLPRegressor,R2,0.984 ±0.006
UKHouseOfCommons,MLPRegressor2,RMSE,0.099 ±0.026
UKHouseOfCommons,MLPRegressor2,MAE,0.036 ±0.005
UKHouseOfCommons,MLPRegressor2,R2,0.990 ±0.004
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.569 ±0.064
myeloid,KNeighborsRegressor,MAE,0.256 ±0.055
myeloid,KNeighborsRegressor,R2,0.671 ±0.058
myeloid,SVR,RMSE,0.563 ±0.070
myeloid,SVR,MAE,0.216 ±0.045
myeloid,SVR,R2,0.677 ±0.062
myeloid,RandomForestRegressor,RMSE,0.575 ±0.060
myeloid,RandomForestRegressor,MAE,0.263 ±0.040
myeloid,RandomForestRegressor,R2,0.661 ±0.069
myeloid,GradientBoostingRegressor,RMSE,0.618 ±0.086
myeloid,GradientBoostingRegressor,MAE,0.271 ±0.048
myeloid,GradientBoostingRegressor,R2,0.608 ±0.096
myeloid,MLPRegressor,RMSE,0.578 ±0.061
myeloid,MLPRegressor,MAE,0.247 ±0.034
myeloid,MLPRegressor,R2,0.657 ±0.082
myeloid,MLPRegressor2,RMSE,0.688 ±0.085
myeloid,MLPRegressor2,MAE,0.275 ±0.055
myeloid,MLPRegressor2,R2,0.514 ±0.122
us_rent_income,ElasticNet,RMSE,0.683 ±0.046
us_rent_income,ElasticNet,MAE,0.653 ±0.045
us_rent_income,ElasticNet,R2,0.526 ±0.033
us_rent_income,KNeighborsRegressor,RMSE,0.202 ±0.027
us_rent_income,KNeighborsRegressor,MAE,0.030 ±0.009
us_rent_income,KNeighborsRegressor,R2,0.958 ±0.008
us_rent_income,SVR,RMSE,0.235 ±0.062
us_rent_income,SVR,MAE,0.075 ±0.021
us_rent_income,SVR,R2,0.942 ±0.027
us_rent_income,RandomForestRegressor,RMSE,0.217 ±0.029
us_rent_income,RandomForestRegressor,MAE,0.032 ±0.012
us_rent_income,RandomForestRegressor,R2,0.951 ±0.012
us_rent_income,GradientBoostingRegressor,RMSE,0.224 ±0.035
us_rent_income,GradientBoostingRegressor,MAE,0.030 ±0.011
us_rent_income,GradientBoostingRegressor,R2,0.948 ±0.015
us_rent_income,MLPRegressor,RMSE,0.183 ±0.029
us_rent_income,MLPRegressor,MAE,0.035 ±0.011
us_rent_income,MLPRegressor,R2,0.965 ±0.010
us_rent_income,MLPRegressor2,RMSE,0.205 ±0.051
us_rent_income,MLPRegressor2,MAE,0.072 ±0.051
us_rent_income,MLPRegressor2,R2,0.955 ±0.027
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.482 ±0.041
Baseball,KNeighborsRegressor,MAE,0.299 ±0.029
Baseball,KNeighborsRegressor,R2,0.765 ±0.033
Baseball,SVR,RMSE,0.483 ±0.073
Baseball,SVR,MAE,0.262 ±0.031
Baseball,SVR,R2,0.767 ±0.040
Baseball,RandomForestRegressor,RMSE,0.382 ±0.039
Baseball,RandomForestRegressor,MAE,0.229 ±0.023
Baseball,RandomForestRegressor,R2,0.852 ±0.026
Baseball,GradientBoostingRegressor,RMSE,0.373 ±0.035
Baseball,GradientBoostingRegressor,MAE,0.233 ±0.027
Baseball,GradientBoostingRegressor,R2,0.859 ±0.027
Baseball,MLPRegressor,RMSE,0.393 ±0.031
Baseball,MLPRegressor,MAE,0.251 ±0.027
Baseball,MLPRegressor,R2,0.843 ±0.026
Baseball,MLPRegressor2,RMSE,0.387 ±0.034
Baseball,MLPRegressor2,MAE,0.240 ±0.024
Baseball,MLPRegressor2,R2,0.849 ±0.022
