,,,HashingEncoder
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.184 ±0.042
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.080 ±0.011
UKHouseOfCommons,GradientBoostingRegressor,R2,0.966 ±0.012
UKHouseOfCommons,MLPRegressor,RMSE,0.147 ±0.025
UKHouseOfCommons,MLPRegressor,MAE,0.070 ±0.010
UKHouseOfCommons,MLPRegressor,R2,0.978 ±0.006
UKHouseOfCommons,MLPRegressor2,RMSE,0.127 ±0.027
UKHouseOfCommons,MLPRegressor2,MAE,0.058 ±0.006
UKHouseOfCommons,MLPRegressor2,R2,0.984 ±0.006
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.569 ±0.069
myeloid,KNeighborsRegressor,MAE,0.254 ±0.040
myeloid,KNeighborsRegressor,R2,0.671 ±0.058
myeloid,SVR,RMSE,0.556 ±0.068
myeloid,SVR,MAE,0.223 ±0.040
myeloid,SVR,R2,0.684 ±0.063
myeloid,RandomForestRegressor,RMSE,0.578 ±0.062
myeloid,RandomForestRegressor,MAE,0.254 ±0.034
myeloid,RandomForestRegressor,R2,0.657 ±0.071
myeloid,GradientBoostingRegressor,RMSE,0.622 ±0.086
myeloid,GradientBoostingRegressor,MAE,0.271 ±0.045
myeloid,GradientBoostingRegressor,R2,0.603 ±0.096
myeloid,MLPRegressor,RMSE,0.591 ±0.061
myeloid,MLPRegressor,MAE,0.251 ±0.042
myeloid,MLPRegressor,R2,0.640 ±0.085
myeloid,MLPRegressor2,RMSE,0.682 ±0.088
myeloid,MLPRegressor2,MAE,0.278 ±0.050
myeloid,MLPRegressor2,R2,0.520 ±0.121
us_rent_income,ElasticNet,RMSE,0.836 ±0.054
us_rent_income,ElasticNet,MAE,0.810 ±0.068
us_rent_income,ElasticNet,R2,0.285 ±0.089
us_rent_income,KNeighborsRegressor,RMSE,0.267 ±0.038
us_rent_income,KNeighborsRegressor,MAE,0.036 ±0.018
us_rent_income,KNeighborsRegressor,R2,0.926 ±0.022
us_rent_income,SVR,RMSE,0.308 ±0.059
us_rent_income,SVR,MAE,0.119 ±0.029
us_rent_income,SVR,R2,0.902 ±0.032
us_rent_income,RandomForestRegressor,RMSE,0.219 ±0.032
us_rent_income,RandomForestRegressor,MAE,0.039 ±0.019
us_rent_income,RandomForestRegressor,R2,0.950 ±0.014
us_rent_income,GradientBoostingRegressor,RMSE,0.240 ±0.043
us_rent_income,GradientBoostingRegressor,MAE,0.040 ±0.023
us_rent_income,GradientBoostingRegressor,R2,0.940 ±0.023
us_rent_income,MLPRegressor,RMSE,0.286 ±0.044
us_rent_income,MLPRegressor,MAE,0.109 ±0.039
us_rent_income,MLPRegressor,R2,0.914 ±0.027
us_rent_income,MLPRegressor2,RMSE,0.249 ±0.056
us_rent_income,MLPRegressor2,MAE,0.076 ±0.031
us_rent_income,MLPRegressor2,R2,0.934 ±0.034
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.523 ±0.039
Baseball,KNeighborsRegressor,MAE,0.322 ±0.035
Baseball,KNeighborsRegressor,R2,0.723 ±0.039
Baseball,SVR,RMSE,0.483 ±0.066
Baseball,SVR,MAE,0.268 ±0.023
Baseball,SVR,R2,0.767 ±0.034
Baseball,RandomForestRegressor,RMSE,0.381 ±0.035
Baseball,RandomForestRegressor,MAE,0.227 ±0.022
Baseball,RandomForestRegressor,R2,0.853 ±0.027
Baseball,GradientBoostingRegressor,RMSE,0.373 ±0.034
Baseball,GradientBoostingRegressor,MAE,0.230 ±0.030
Baseball,GradientBoostingRegressor,R2,0.859 ±0.023
Baseball,MLPRegressor,RMSE,0.419 ±0.035
Baseball,MLPRegressor,MAE,0.271 ±0.032
Baseball,MLPRegressor,R2,0.822 ±0.029
Baseball,MLPRegressor2,RMSE,0.415 ±0.030
Baseball,MLPRegressor2,MAE,0.269 ±0.026
Baseball,MLPRegressor2,R2,0.826 ±0.020
