,,,CountEncoder
Baseball,KNeighborsRegressor,R2,0.404 ±0.107
Baseball,SVR,RMSE,0.963 ±0.091
Baseball,SVR,MAE,0.603 ±0.058
Baseball,SVR,R2,0.072 ±0.059
Baseball,RandomForestRegressor,RMSE,0.379 ±0.037
Baseball,RandomForestRegressor,MAE,0.227 ±0.019
Baseball,RandomForestRegressor,R2,0.854 ±0.026
Baseball,GradientBoostingRegressor,RMSE,0.372 ±0.033
Baseball,GradientBoostingRegressor,MAE,0.232 ±0.026
Baseball,GradientBoostingRegressor,R2,0.860 ±0.023
Baseball,MLPRegressor,RMSE,1.734 ±1.632
Baseball,MLPRegressor,MAE,1.515 ±1.611
Baseball,MLPRegressor,R2,-5.125 ±10.305
Baseball,MLPRegressor2,RMSE,0.499 ±0.236
Baseball,MLPRegressor2,MAE,0.325 ±0.194
Baseball,MLPRegressor2,R2,0.672 ±0.562
