,,,PolynomialEncoder
gtcars,SVR,MAE,0.388 ±0.120
gtcars,SVR,R2,0.455 ±0.118
gtcars,RandomForestRegressor,RMSE,0.726 ±0.275
gtcars,RandomForestRegressor,MAE,0.331 ±0.085
gtcars,RandomForestRegressor,R2,0.503 ±0.149
gtcars,GradientBoostingRegressor,RMSE,0.746 ±0.277
gtcars,GradientBoostingRegressor,MAE,0.323 ±0.123
gtcars,GradientBoostingRegressor,R2,0.466 ±0.179
gtcars,MLPRegressor,RMSE,0.834 ±0.253
gtcars,MLPRegressor,MAE,0.427 ±0.088
gtcars,MLPRegressor,R2,0.294 ±0.307
gtcars,MLPRegressor2,RMSE,0.802 ±0.226
gtcars,MLPRegressor2,MAE,0.382 ±0.086
gtcars,MLPRegressor2,R2,0.321 ±0.358
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.722 ±0.093
water,KNeighborsRegressor,MAE,0.561 ±0.117
water,KNeighborsRegressor,R2,0.462 ±0.099
water,SVR,RMSE,0.758 ±0.110
water,SVR,MAE,0.581 ±0.115
water,SVR,R2,0.408 ±0.115
water,RandomForestRegressor,RMSE,0.802 ±0.093
water,RandomForestRegressor,MAE,0.564 ±0.120
water,RandomForestRegressor,R2,0.323 ±0.172
water,GradientBoostingRegressor,RMSE,0.878 ±0.116
water,GradientBoostingRegressor,MAE,0.634 ±0.128
water,GradientBoostingRegressor,R2,0.183 ±0.236
water,MLPRegressor,RMSE,0.710 ±0.094
water,MLPRegressor,MAE,0.536 ±0.127
water,MLPRegressor,R2,0.476 ±0.129
water,MLPRegressor2,RMSE,0.749 ±0.114
water,MLPRegressor2,MAE,0.560 ±0.122
water,MLPRegressor2,R2,0.418 ±0.142
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.666 ±0.244
ca2006,KNeighborsRegressor,MAE,0.438 ±0.184
ca2006,KNeighborsRegressor,R2,0.503 ±0.335
ca2006,SVR,RMSE,0.637 ±0.234
ca2006,SVR,MAE,0.290 ±0.169
ca2006,SVR,R2,0.561 ±0.246
ca2006,RandomForestRegressor,RMSE,0.485 ±0.197
ca2006,RandomForestRegressor,MAE,0.271 ±0.132
ca2006,RandomForestRegressor,R2,0.740 ±0.171
ca2006,GradientBoostingRegressor,RMSE,0.411 ±0.169
ca2006,GradientBoostingRegressor,MAE,0.239 ±0.106
ca2006,GradientBoostingRegressor,R2,0.809 ±0.139
ca2006,MLPRegressor,RMSE,0.400 ±0.129
ca2006,MLPRegressor,MAE,0.236 ±0.116
ca2006,MLPRegressor,R2,0.815 ±0.109
ca2006,MLPRegressor2,RMSE,0.400 ±0.115
ca2006,MLPRegressor2,MAE,0.205 ±0.089
ca2006,MLPRegressor2,R2,0.818 ±0.104
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.363 ±0.041
UKHouseOfCommons,KNeighborsRegressor,MAE,0.160 ±0.015
UKHouseOfCommons,KNeighborsRegressor,R2,0.868 ±0.020
UKHouseOfCommons,SVR,RMSE,0.302 ±0.084
UKHouseOfCommons,SVR,MAE,0.074 ±0.008
UKHouseOfCommons,SVR,R2,0.907 ±0.039
UKHouseOfCommons,RandomForestRegressor,RMSE,0.303 ±0.056
UKHouseOfCommons,RandomForestRegressor,MAE,0.123 ±0.011
UKHouseOfCommons,RandomForestRegressor,R2,0.907 ±0.024
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.208 ±0.042
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.087 ±0.011
UKHouseOfCommons,GradientBoostingRegressor,R2,0.956 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.192 ±0.031
UKHouseOfCommons,MLPRegressor,MAE,0.088 ±0.011
UKHouseOfCommons,MLPRegressor,R2,0.963 ±0.011
UKHouseOfCommons,MLPRegressor2,RMSE,0.150 ±0.027
