,,,OneHotEncoder
txhousing,GradientBoostingRegressor,MAE,0.012 ±0.000
txhousing,GradientBoostingRegressor,R2,0.996 ±0.000
txhousing,MLPRegressor,RMSE,0.053 ±0.004
txhousing,MLPRegressor,MAE,0.020 ±0.001
txhousing,MLPRegressor,R2,0.997 ±0.000
txhousing,MLPRegressor2,RMSE,0.041 ±0.002
txhousing,MLPRegressor2,MAE,0.017 ±0.001
txhousing,MLPRegressor2,R2,0.998 ±0.000
gtcars,ElasticNet,RMSE,0.886 ±0.297
gtcars,ElasticNet,MAE,0.511 ±0.159
gtcars,ElasticNet,R2,0.260 ±0.096
gtcars,KNeighborsRegressor,RMSE,0.772 ±0.267
gtcars,KNeighborsRegressor,MAE,0.432 ±0.142
gtcars,KNeighborsRegressor,R2,0.423 ±0.172
gtcars,SVR,RMSE,0.765 ±0.277
gtcars,SVR,MAE,0.389 ±0.122
gtcars,SVR,R2,0.449 ±0.117
gtcars,RandomForestRegressor,RMSE,0.695 ±0.284
gtcars,RandomForestRegressor,MAE,0.298 ±0.090
gtcars,RandomForestRegressor,R2,0.543 ±0.171
gtcars,GradientBoostingRegressor,RMSE,0.698 ±0.291
gtcars,GradientBoostingRegressor,MAE,0.297 ±0.089
gtcars,GradientBoostingRegressor,R2,0.531 ±0.205
gtcars,MLPRegressor,RMSE,0.836 ±0.231
gtcars,MLPRegressor,MAE,0.416 ±0.077
gtcars,MLPRegressor,R2,0.280 ±0.302
gtcars,MLPRegressor2,RMSE,0.784 ±0.223
gtcars,MLPRegressor2,MAE,0.361 ±0.077
gtcars,MLPRegressor2,R2,0.362 ±0.315
water,ElasticNet,RMSE,0.970 ±0.149
water,ElasticNet,MAE,0.747 ±0.161
water,ElasticNet,R2,0.048 ±0.070
water,KNeighborsRegressor,RMSE,0.722 ±0.093
water,KNeighborsRegressor,MAE,0.561 ±0.117
water,KNeighborsRegressor,R2,0.462 ±0.099
water,SVR,RMSE,0.759 ±0.113
water,SVR,MAE,0.588 ±0.111
water,SVR,R2,0.407 ±0.116
water,RandomForestRegressor,RMSE,0.800 ±0.093
water,RandomForestRegressor,MAE,0.573 ±0.125
water,RandomForestRegressor,R2,0.330 ±0.159
water,GradientBoostingRegressor,RMSE,0.878 ±0.116
water,GradientBoostingRegressor,MAE,0.635 ±0.126
water,GradientBoostingRegressor,R2,0.183 ±0.236
water,MLPRegressor,RMSE,0.711 ±0.094
water,MLPRegressor,MAE,0.548 ±0.124
water,MLPRegressor,R2,0.476 ±0.113
water,MLPRegressor2,RMSE,0.759 ±0.115
water,MLPRegressor2,MAE,0.580 ±0.129
water,MLPRegressor2,R2,0.404 ±0.144
ca2006,ElasticNet,RMSE,0.759 ±0.198
ca2006,ElasticNet,MAE,0.598 ±0.204
ca2006,ElasticNet,R2,0.383 ±0.234
ca2006,KNeighborsRegressor,RMSE,0.666 ±0.244
ca2006,KNeighborsRegressor,MAE,0.438 ±0.184
ca2006,KNeighborsRegressor,R2,0.503 ±0.335
ca2006,SVR,RMSE,0.640 ±0.234
ca2006,SVR,MAE,0.299 ±0.164
ca2006,SVR,R2,0.556 ±0.247
ca2006,RandomForestRegressor,RMSE,0.478 ±0.196
ca2006,RandomForestRegressor,MAE,0.262 ±0.127
ca2006,RandomForestRegressor,R2,0.748 ±0.168
ca2006,GradientBoostingRegressor,RMSE,0.404 ±0.149
ca2006,GradientBoostingRegressor,MAE,0.225 ±0.097
ca2006,GradientBoostingRegressor,R2,0.822 ±0.103
ca2006,MLPRegressor,RMSE,0.422 ±0.131
ca2006,MLPRegressor,MAE,0.240 ±0.109
ca2006,MLPRegressor,R2,0.802 ±0.095
ca2006,MLPRegressor2,RMSE,0.388 ±0.112
ca2006,MLPRegressor2,MAE,0.227 ±0.070
ca2006,MLPRegressor2,R2,0.829 ±0.089
UKHouseOfCommons,ElasticNet,RMSE,0.763 ±0.059
UKHouseOfCommons,ElasticNet,MAE,0.487 ±0.035
UKHouseOfCommons,ElasticNet,R2,0.419 ±0.014
UKHouseOfCommons,KNeighborsRegressor,RMSE,0.363 ±0.041
UKHouseOfCommons,KNeighborsRegressor,MAE,0.160 ±0.015
UKHouseOfCommons,KNeighborsRegressor,R2,0.868 ±0.020
UKHouseOfCommons,SVR,RMSE,0.340 ±0.074
UKHouseOfCommons,SVR,MAE,0.140 ±0.013
UKHouseOfCommons,SVR,R2,0.884 ±0.037
UKHouseOfCommons,RandomForestRegressor,RMSE,0.250 ±0.055
UKHouseOfCommons,RandomForestRegressor,MAE,0.087 ±0.010
UKHouseOfCommons,RandomForestRegressor,R2,0.936 ±0.022
UKHouseOfCommons,GradientBoostingRegressor,RMSE,0.199 ±0.043
UKHouseOfCommons,GradientBoostingRegressor,MAE,0.085 ±0.010
UKHouseOfCommons,GradientBoostingRegressor,R2,0.960 ±0.013
UKHouseOfCommons,MLPRegressor,RMSE,0.274 ±0.031
UKHouseOfCommons,MLPRegressor,MAE,0.144 ±0.013
UKHouseOfCommons,MLPRegressor,R2,0.924 ±0.014
UKHouseOfCommons,MLPRegressor2,RMSE,0.229 ±0.030
UKHouseOfCommons,MLPRegressor2,MAE,0.119 ±0.011
UKHouseOfCommons,MLPRegressor2,R2,0.947 ±0.010
myeloid,ElasticNet,RMSE,0.870 ±0.109
myeloid,ElasticNet,MAE,0.746 ±0.077
myeloid,ElasticNet,R2,0.240 ±0.065
myeloid,KNeighborsRegressor,RMSE,0.595 ±0.065
myeloid,KNeighborsRegressor,MAE,0.282 ±0.046
myeloid,KNeighborsRegressor,R2,0.639 ±0.060
myeloid,SVR,RMSE,0.560 ±0.067
myeloid,SVR,MAE,0.225 ±0.045
myeloid,SVR,R2,0.680 ±0.061
myeloid,RandomForestRegressor,RMSE,0.573 ±0.059
myeloid,RandomForestRegressor,MAE,0.256 ±0.040
myeloid,RandomForestRegressor,R2,0.663 ±0.070
myeloid,GradientBoostingRegressor,RMSE,0.620 ±0.087
myeloid,GradientBoostingRegressor,MAE,0.270 ±0.047
myeloid,GradientBoostingRegressor,R2,0.605 ±0.096
myeloid,MLPRegressor,RMSE,0.605 ±0.080
myeloid,MLPRegressor,MAE,0.269 ±0.052
myeloid,MLPRegressor,R2,0.622 ±0.109
myeloid,MLPRegressor2,RMSE,0.700 ±0.095
myeloid,MLPRegressor2,MAE,0.291 ±0.055
myeloid,MLPRegressor2,R2,0.496 ±0.133
us_rent_income,ElasticNet,RMSE,0.836 ±0.054
us_rent_income,ElasticNet,MAE,0.810 ±0.068
us_rent_income,ElasticNet,R2,0.285 ±0.089
us_rent_income,KNeighborsRegressor,RMSE,0.199 ±0.029
us_rent_income,KNeighborsRegressor,MAE,0.028 ±0.011
us_rent_income,KNeighborsRegressor,R2,0.960 ±0.009
us_rent_income,SVR,RMSE,0.325 ±0.047
us_rent_income,SVR,MAE,0.236 ±0.034
us_rent_income,SVR,R2,0.891 ±0.027
us_rent_income,RandomForestRegressor,RMSE,0.201 ±0.032
us_rent_income,RandomForestRegressor,MAE,0.029 ±0.009
us_rent_income,RandomForestRegressor,R2,0.959 ±0.010
us_rent_income,GradientBoostingRegressor,RMSE,0.205 ±0.030
us_rent_income,GradientBoostingRegressor,MAE,0.057 ±0.016
us_rent_income,GradientBoostingRegressor,R2,0.957 ±0.011
us_rent_income,MLPRegressor,RMSE,0.285 ±0.061
us_rent_income,MLPRegressor,MAE,0.172 ±0.049
us_rent_income,MLPRegressor,R2,0.915 ±0.033
us_rent_income,MLPRegressor2,RMSE,0.223 ±0.037
us_rent_income,MLPRegressor2,MAE,0.109 ±0.034
us_rent_income,MLPRegressor2,R2,0.948 ±0.015
Baseball,ElasticNet,RMSE,0.705 ±0.056
Baseball,ElasticNet,MAE,0.528 ±0.041
Baseball,ElasticNet,R2,0.502 ±0.030
Baseball,KNeighborsRegressor,RMSE,0.496 ±0.040
Baseball,KNeighborsRegressor,MAE,0.314 ±0.037
Baseball,KNeighborsRegressor,R2,0.751 ±0.036
Baseball,SVR,RMSE,0.475 ±0.068
Baseball,SVR,MAE,0.258 ±0.028
Baseball,SVR,R2,0.775 ±0.034
Baseball,RandomForestRegressor,RMSE,0.379 ±0.037
Baseball,RandomForestRegressor,MAE,0.222 ±0.020
Baseball,RandomForestRegressor,R2,0.854 ±0.026
Baseball,GradientBoostingRegressor,RMSE,0.369 ±0.029
Baseball,GradientBoostingRegressor,MAE,0.229 ±0.031
Baseball,GradientBoostingRegressor,R2,0.862 ±0.022
Baseball,MLPRegressor,RMSE,0.445 ±0.038
Baseball,MLPRegressor,MAE,0.280 ±0.031
Baseball,MLPRegressor,R2,0.799 ±0.034
Baseball,MLPRegressor2,RMSE,0.407 ±0.033
Baseball,MLPRegressor2,MAE,0.259 ±0.023
Baseball,MLPRegressor2,R2,0.832 ±0.023
